Wall time,Step,Value
1684600726.010734,1,-1090.199951171875
1684600727.860746,2,-1000.7000122070312
1684600730.320569,3,1269.199951171875
1684600732.627303,4,1269.199951171875
1684600734.704217,5,1359.300048828125
1684600736.560835,6,-790.7000122070312
1684600738.837751,7,1479.199951171875
1684600741.045636,8,1149.300048828125
1684600743.121425,9,1209.300048828125
1684600745.127626,10,-940.7999877929688
1684600747.671241,11,1269.0999755859375
1684600750.138246,12,1359.199951171875
1684600752.588052,13,1419.199951171875
1684600754.661362,14,1419.300048828125
1684600756.727544,15,1209.300048828125
1684600758.787972,16,1419.300048828125
1684600761.071719,17,1059.199951171875
1684600763.438207,18,1209.199951171875
1684600765.772343,19,1269.199951171875
1684600768.457328,20,1329.0999755859375
1684600770.130399,21,-1060.5999755859375
1684600772.224066,22,1419.300048828125
1684600775.124128,23,1599.0
1684600777.990988,24,1179.0
1684600780.624334,25,1539.0999755859375
1684600782.347333,26,-1000.7000122070312
1684600784.114485,27,-1000.7000122070312
1684600785.881412,28,-1000.7000122070312
1684600787.87466,29,1419.300048828125
1684600790.758046,30,1539.0
1684600793.524638,31,1329.0999755859375
1684600795.531125,32,-940.7999877929688
1684600798.197693,33,1329.0999755859375
1684600799.930818,34,-790.7000122070312
1684600802.824716,35,1539.0
1684600805.691467,36,1539.0999755859375
1684600807.441426,37,-1000.7000122070312
1684600809.531304,38,-940.7999877929688
1684600811.841507,39,1269.199951171875
1684600814.658131,40,1119.0999755859375
1684600816.448394,41,-1000.7000122070312
1684600818.281928,42,-1000.7000122070312
1684600820.548014,43,1269.199951171875
1684600823.365596,44,1599.0
1684600824.964659,45,-1060.5999755859375
1684600827.55819,46,1269.0999755859375
1684600829.708247,47,1359.300048828125
1684600831.7145,48,-940.7999877929688
1684600833.708338,49,-940.7999877929688
1684600835.898013,50,1149.300048828125
1684600837.999344,51,1359.300048828125
1684600840.008459,52,-940.7999877929688
1684600842.34214,53,1059.199951171875
1684600844.048099,54,-1000.7000122070312
1684600846.125241,55,1209.300048828125
1684600848.775269,56,1329.0999755859375
1684600850.9752,57,1359.300048828125
1684600852.765361,58,-1000.7000122070312
1684600855.675238,59,1389.0
1684600858.932287,60,1658.9000244140625
1684600861.741993,61,1329.0999755859375
1684600863.615167,62,-0.699999988079071
1684600865.97533,63,1479.199951171875
1684600867.514954,64,-850.5999755859375
1684600870.148331,65,1269.0999755859375
1684600871.948219,66,-1000.7000122070312
1684600874.208796,67,1269.199951171875
1684600876.80999,68,1329.0999755859375
1684600879.498647,69,1539.0999755859375
1684600881.582493,70,-940.7999877929688
1684600883.842759,71,1419.199951171875
1684600886.142318,72,1479.199951171875
1684600887.94871,73,-1000.7000122070312
1684600889.965169,74,-940.7999877929688
1684600892.325538,75,1419.199951171875
1684600894.793244,76,1269.199951171875
1684600897.342743,77,1329.0999755859375
1684600899.165353,78,-1000.7000122070312
1684600901.292676,79,1419.300048828125
1684600903.298904,80,-940.7999877929688
1684600905.459271,81,1209.300048828125
1684600907.826215,82,1269.199951171875
1684600909.632321,83,-1000.7000122070312
1684600912.209246,84,1479.0999755859375
1684600913.915797,85,-850.7000122070312
1684600916.526181,86,1329.0999755859375
1684600918.575981,87,1209.300048828125
1684600920.682906,88,-940.7999877929688
1684600923.092745,89,1359.199951171875
1684600925.542936,90,1269.199951171875
1684600928.593401,91,1539.0
1684600930.482947,92,-1000.7000122070312
1684600932.343084,93,-850.7000122070312
1684600935.259642,94,1179.0
1684600937.576443,95,1479.199951171875
1684600940.509911,96,1539.0
1684600942.326748,97,-790.7000122070312
1684600945.02654,98,1329.0999755859375
1684600946.833147,99,-850.7000122070312
1684600949.210019,100,1419.199951171875
