Wall time,Step,Value
1676391791.984998,1,-401.04998779296875
1676391800.676592,2,699.0999755859375
1676391810.02702,3,749.2000122070312
1676391820.032701,4,-400.8500061035156
1676391828.686258,5,749.0999755859375
1676391842.969476,6,-401.1499938964844
1676391851.244829,7,-150.85000610351562
1676391858.37909,8,-450.70001220703125
1676391868.081206,9,-300.8500061035156
1676391876.715773,10,449.1000061035156
1676391880.99156,11,-300.45001220703125
1676391890.169922,12,2399.050048828125
1676391899.43018,13,-300.95001220703125
1676391908.215403,14,-200.75
1676391912.599134,15,-1050.3499755859375
1676391922.036349,16,-250.75
1676391930.577584,17,-250.85000610351562
1676391938.590943,18,749.2000122070312
1676391942.236582,19,-1200.3499755859375
1676391949.425724,20,749.25
1676391953.751495,21,-150.39999389648438
1676391957.730574,22,899.5999755859375
1676391962.248822,23,849.5499877929688
1676391966.442373,24,-1150.449951171875
1676391978.001432,25,599.0999755859375
1676391983.848812,26,-1200.449951171875
1676391987.594322,27,-1100.4000244140625
1676391996.439267,28,749.2000122070312
1676392001.602173,29,-1100.4000244140625
1676392005.300205,30,-1100.4000244140625
1676392013.3705,31,-450.79998779296875
1676392017.254856,32,-1150.4000244140625
1676392020.690439,33,-1100.3499755859375
1676392024.791463,34,-200.4499969482422
1676392032.788489,35,749.1500244140625
1676392037.2387,36,-200.4499969482422
1676392041.264488,37,-1200.4000244140625
1676392045.593479,38,-200.4499969482422
1676392053.676909,39,649.1500244140625
1676392058.193663,40,-1150.449951171875
1676392067.190553,41,1749.0999755859375
1676392071.393971,42,-150.39999389648438
1676392086.639744,43,-451.0
1676392094.018305,44,-1250.550048828125
1676392102.030401,45,-400.8500061035156
1676392106.503093,46,-1100.4000244140625
1676392110.654217,47,-1150.4000244140625
1676392118.645856,48,699.1500244140625
1676392126.162457,49,1799.4000244140625
1676392134.032414,50,599.25
1676392141.646086,51,-400.75
1676392145.383969,52,-1100.3499755859375
1676392153.96663,53,549.0999755859375
1676392158.371775,54,-1200.449951171875
1676392167.612837,55,849.1500244140625
1676392171.657272,56,-1250.4000244140625
1676392179.675529,57,-400.8500061035156
1676392187.135028,58,-200.75
1676392191.328261,59,-1100.4000244140625
1676392203.050186,60,-400.8500061035156
1676392214.863924,61,-1300.5999755859375
1676392215.789219,62,-0.05000000074505806
1676392228.845095,63,-1300.699951171875
1676392256.691507,64,248.5500030517578
1676392268.777657,65,-1450.6500244140625
1676392282.888143,66,-250.8000030517578
1676392293.961912,67,-1250.6500244140625
1676392318.359586,68,498.6000061035156
1676392332.155452,69,-150.75
1676392345.877831,70,-1350.699951171875
1676392368.385032,71,-551.4000244140625
1676392388.408082,72,-501.1499938964844
